url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,8,3
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration/output,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration/results,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration/thermal,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration/visible,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/03-fusion,2,2
