url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,19,7
/acqxi/FlirWithFaceDet/tree/github-repo-stats,10,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,10,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data,9,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data/proof,6,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,5,3
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/ncs2,5,3
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,5,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,4,3
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/04-application,4,3
