url_path,views_total,views_unique
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.md,15,9
/acqxi/FlirWithFaceDet,5,3
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report,5,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.html,3,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats,2,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,2,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report_for_pdf.html,1,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,1,1
/acqxi/FlirWithFaceDet/graphs/traffic,1,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,1,1
