url_path,views_total,views_unique
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,5,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,4,1
/acqxi/FlirWithFaceDet,3,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report,3,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data,2,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/resources,2,1
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,2,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration,2,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/03-fusion,2,1
/acqxi/FlirWithFaceDet/tree/exp_2308,1,1
