url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,23,8
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,11,4
/acqxi/FlirWithFaceDet/tree/github-repo-stats,11,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,11,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data,11,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,6,4
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/ncs2,6,4
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data/proof,6,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration,5,3
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,5,2
