url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,11,5
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/03-fusion,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/04-application,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/ncs2,3,2
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,2,2
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,2,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/02-calibration/output,2,2
