url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,19,8
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,10,1
/acqxi/FlirWithFaceDet/graphs/traffic,5,1
/acqxi/FlirWithFaceDet/graphs/code-frequency,2,1
/acqxi/FlirWithFaceDet/graphs/commit-activity,2,1
/acqxi/FlirWithFaceDet/graphs/contributors,2,1
/acqxi/FlirWithFaceDet/pulse,2,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,2,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/ncs2,2,1
/acqxi/FlirWithFaceDet/blob/main/thermal-pi/04-application/thermometer.py,1,1
