url_path,views_total,views_unique
/acqxi/FlirWithFaceDet/tree/exp_2308/thermal-pi,13,1
/acqxi/FlirWithFaceDet/tree/exp_2308/thermal-pi/02-calibration,7,1
/acqxi/FlirWithFaceDet/blob/exp_2308/thermal-pi/02-calibration/camera_preview.py,6,1
/acqxi/FlirWithFaceDet,5,1
/acqxi/FlirWithFaceDet/blob/exp_2308/readme.md,5,1
/acqxi/FlirWithFaceDet/edit/exp_2308/readme.md,5,1
/acqxi/FlirWithFaceDet/edit/main/readme.md,5,1
/acqxi/FlirWithFaceDet/blob/exp_2308/thermal-pi/04-application/thermometer.py,4,1
/acqxi/FlirWithFaceDet/blob/exp_2308/thermal-pi/fusion.conf,4,1
/acqxi/FlirWithFaceDet/blob/main/readme.md,4,1
