time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-14 00:00:00+00:00,,,22,1
2023-03-16 00:00:00+00:00,,,27,4
2023-03-17 00:00:00+00:00,,,3,3
2023-03-18 00:00:00+00:00,,,1,1
2023-03-20 00:00:00+00:00,,,6,3
2023-03-22 00:00:00+00:00,,,17,2
