url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,42,10
/acqxi/FlirWithFaceDet/tree/github-repo-stats,20,1
/acqxi/FlirWithFaceDet/actions/workflows/github-repo-stats.yml,13,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,12,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,11,4
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data,11,1
/acqxi/FlirWithFaceDet/actions,9,1
/acqxi/FlirWithFaceDet/branches,7,2
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,6,4
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,6,4
