url_path,views_total,views_unique
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report,4,1
/acqxi/FlirWithFaceDet,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,3,2
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.html,2,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report_for_pdf.html,1,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.md,1,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,1,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats,1,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,1,1
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,1,1
